epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,2554.98,0.64983,0.38049,0.7911,0.06418,0.4092,0.09502,0.05601,1.44375,4.47924,0.84228,0.000126341,0.000126341,0.000126341
125,2574.39,0.66255,0.38223,0.7895,0.07568,0.38047,0.11901,0.07105,1.45291,4.54242,0.84155,0.000124743,0.000124743,0.000124743
126,2593.63,0.64283,0.37841,0.78483,0.07183,0.40021,0.10892,0.06702,1.42852,4.57563,0.83707,0.000123144,0.000123144,0.000123144
127,2612.75,0.64623,0.38385,0.78362,0.06725,0.42221,0.09925,0.06043,1.44094,4.71264,0.83874,0.000121545,0.000121545,0.000121545
128,2631.85,0.63561,0.37613,0.78593,0.07651,0.38967,0.10497,0.06488,1.44661,4.7639,0.84023,0.000119946,0.000119946,0.000119946
129,2651.14,0.62163,0.36739,0.78156,0.07216,0.41439,0.10436,0.06249,1.42275,4.61421,0.83723,0.000118347,0.000118347,0.000118347
130,2672.55,0.63456,0.37033,0.78334,0.07603,0.36619,0.10353,0.06287,1.45877,4.67568,0.84378,0.000116748,0.000116748,0.000116748
131,2691.85,0.64716,0.36882,0.78413,0.0722,0.38952,0.09754,0.05833,1.45162,4.71038,0.844,0.000115149,0.000115149,0.000115149
132,2712.26,0.63121,0.36156,0.78608,0.07109,0.41114,0.09882,0.05898,1.44088,4.60614,0.8422,0.000113551,0.000113551,0.000113551
133,2732.06,0.63906,0.37132,0.7844,0.06408,0.35562,0.09856,0.0583,1.45479,4.7318,0.84266,0.000111952,0.000111952,0.000111952
134,2752.52,0.63725,0.37812,0.78565,0.06799,0.40077,0.10277,0.06034,1.45171,4.61138,0.84291,0.000110353,0.000110353,0.000110353
135,2772.12,0.62411,0.36167,0.78422,0.07611,0.38294,0.10715,0.06407,1.45219,4.72834,0.84413,0.000108754,0.000108754,0.000108754
136,2792.05,0.60692,0.35482,0.7847,0.07197,0.37012,0.09776,0.05811,1.42948,4.76271,0.84277,0.000107155,0.000107155,0.000107155
